employee_id,first_name,last_name,email,age,salary,department,hire_date,active,performance_score
1,Uma,Brown,alice.martin@enterprise.net,60,97841.92,Engineering,2021-05-19,True,1.8
2,Diana,Jackson,alice.garcia@enterprise.net,50,64223.75,Operations,2022-10-31,True,3.1
3,Alice,Miller,wendy.harris@enterprise.net,36,66740.7,Finance,2019-08-26,True,1.3
4,Xander,Anderson,drew.hernandez@enterprise.net,64,46053.17,HR,2017-08-03,True,3.4
5,Ivy,Thompson,alice.garcia@business.org,29,49411.48,Sales,2022-07-15,True,3.1
6,Henry,Rodriguez,sam.perez@corp.com,42,21069.71,Marketing,2025-06-06,True,4.0
7,Henry,Harris,charlie.jones@company.com,60,66103.12,HR,2019-11-29,True,3.5
8,Eve,Lopez,charlie.white@firm.co,40,115113.78,Marketing,2016-06-27,True,3.2
9,Xander,Garcia,grace.gonzalez@corp.com,44,44627.61,Sales,2017-01-25,True,3.8
10,Diana,Martin,olivia.hernandez@business.org,32,124523.94,HR,2021-07-03,True,1.6
11,Victor,Martin,liam.martinez@enterprise.net,32,93285.03,Engineering,2019-12-10,False,3.4
12,Xander,White,yara.jackson@firm.co,45,55528.22,Marketing,2016-09-14,True,1.7
13,Casey,Thompson,charlie.johnson@business.org,57,65545.29,HR,2020-01-02,True,4.7
14,Rachel,Brown,frank.harris@firm.co,61,62297.99,HR,2020-09-16,True,1.3
15,Charlie,Harris,bob.perez@company.com,45,99123.28,Marketing,2020-04-01,True,2.7
16,Sam,Clark,ivy.anderson@corp.com,24,75340.31,Sales,2025-03-20,True,3.8
17,Noah,Garcia,peter.martin@corp.com,43,88639.48,Marketing,2022-05-20,True,2.8
18,Bob,Martinez,noah.rodriguez@business.org,23,72163.44,Finance,2018-05-27,False,1.4
19,Alice,Brown,yara.taylor@company.com,45,62760.55,Engineering,2023-07-20,True,3.2
20,Charlie,Jackson,liam.wilson@company.com,51,71528.47,Sales,2022-02-11,True,3.6
21,Grace,Smith,jack.perez@firm.co,59,56861.12,Operations,2019-12-12,True,3.8
22,Henry,Martinez,peter.taylor@enterprise.net,23,35955.92,Operations,2024-10-13,False,2.5
23,Quinn,Jackson,bob.davis@corp.com,42,81273.77,Engineering,2024-08-18,True,3.3
24,Tara,Perez,tara.johnson@company.com,54,34976.71,Engineering,2023-10-31,True,2.8
25,Alice,Gonzalez,grace.martinez@business.org,33,59623.32,Operations,2017-01-13,True,3.7
26,Rachel,Gonzalez,yara.jones@enterprise.net,43,56202.71,Marketing,2019-09-04,True,3.3
27,Grace,Thompson,jack.hernandez@company.com,46,77867.08,Finance,2019-09-23,True,3.1
28,Wendy,Miller,alice.thomas@corp.com,48,96294.09,HR,2025-08-16,True,2.0
29,Uma,Williams,frank.jones@corp.com,63,89099.41,Finance,2018-09-05,True,1.0
30,Wendy,Jackson,rachel.thompson@business.org,49,78448.5,Sales,2024-12-21,True,1.7
31,Rachel,Thompson,quinn.moore@enterprise.net,37,52402.57,Finance,2023-05-06,False,1.5
32,Noah,Clark,charlie.gonzalez@company.com,36,61330.62,Engineering,2018-03-11,True,2.8
33,Henry,Lee,noah.smith@corp.com,24,58414.53,HR,2018-08-25,True,3.4
34,Olivia,Davis,drew.williams@enterprise.net,58,55594.37,Finance,2017-01-12,True,1.9
35,Sam,Brown,sam.wilson@firm.co,28,56950.98,HR,2023-04-26,True,4.8
36,Ivy,Thompson,maya.thompson@corp.com,42,56417.24,Finance,2016-01-04,True,1.0
37,Zoe,Harris,jack.brown@corp.com,30,55531.48,Operations,2018-01-08,True,4.1
38,Blake,Martinez,alice.hernandez@business.org,60,84037.66,HR,2020-12-13,True,3.5
39,Alice,Perez,zoe.martin@corp.com,39,43907.26,Finance,2016-05-03,True,2.5
40,Yara,Martin,alex.thompson@enterprise.net,25,50410.52,Sales,2024-07-17,True,1.2
41,Zoe,Sanchez,charlie.wilson@company.com,46,33331.87,HR,2023-05-27,True,3.5
42,Frank,Brown,henry.wilson@firm.co,35,93309.66,Marketing,2019-09-05,True,2.5
43,Wendy,Sanchez,maya.taylor@company.com,30,49069.94,Engineering,2016-05-31,True,4.7
44,Noah,Jackson,maya.martinez@enterprise.net,47,78215.5,HR,2017-10-29,True,3.2
45,Kate,Sanchez,henry.hernandez@business.org,23,74506.38,Operations,2015-11-09,True,4.8
46,Ivy,Johnson,charlie.taylor@company.com,41,91376.77,Engineering,2017-05-24,True,1.9
47,Eve,Lopez,quinn.taylor@business.org,49,60799.67,Finance,2017-01-05,True,3.9
48,Grace,Moore,casey.harris@enterprise.net,28,46049.2,Finance,2020-10-29,True,3.5
49,Yara,Wilson,liam.white@business.org,29,33885.0,Finance,2018-06-16,True,4.0
50,Kate,Perez,henry.brown@business.org,56,9307.29,Finance,2016-07-19,True,1.9
51,Diana,Lopez,ivy.miller@business.org,35,68227.06,Operations,2024-11-24,True,3.7
52,Charlie,Williams,tara.jones@company.com,38,80509.45,Finance,2017-05-01,True,3.0
53,Maya,Taylor,frank.harris@corp.com,57,74433.76,Sales,2018-01-05,True,4.0
54,Diana,Lee,olivia.harris@firm.co,61,34404.71,Engineering,2023-12-26,True,2.3
55,Liam,Hernandez,yara.jackson@corp.com,25,85776.52,HR,2025-06-10,False,4.6
56,Blake,Smith,victor.jackson@firm.co,23,51035.68,Sales,2020-07-23,True,1.3
57,Liam,Wilson,kate.lee@enterprise.net,27,46861.93,Sales,2017-09-01,True,4.2
58,Tara,Clark,eve.anderson@company.com,63,50587.36,Sales,2021-12-27,True,4.4
59,Ivy,Thomas,peter.anderson@enterprise.net,25,66568.18,Sales,2025-04-13,True,4.3
60,Zoe,Brown,zoe.rodriguez@firm.co,50,35305.97,Sales,2024-09-22,True,3.1
61,Bob,Wilson,bob.lopez@firm.co,39,64259.28,Engineering,2024-11-19,True,2.8
62,Xander,Lopez,charlie.martinez@corp.com,47,73588.96,HR,2025-02-05,False,5.0
63,Olivia,Lee,olivia.johnson@company.com,55,87146.48,Engineering,2023-09-17,True,1.9
64,Rachel,Clark,liam.clark@enterprise.net,31,68519.13,Operations,2016-10-19,True,3.2
