id,name,email,age,salary,department
1,Henry,henry1@test.com,38,63249,Engineering
2,Tara,tara2@test.com,47,73299,Marketing
3,Tara,tara3@test.com,35,72988,Engineering
4,Maya,maya4@test.com,32,88949,Marketing
5,Bob,bob5@test.com,31,55711,Engineering
6,Quinn,quinn6@test.com,58,82265,Finance
7,Alex,alex7@test.com,65,65554,Marketing
8,Maya,maya8@test.com,60,81928,Sales
9,Ivy,ivy9@test.com,36,59540,Sales
10,Liam,liam10@test.com,38,74628,HR
11,Tara,tara11@test.com,43,51587,Engineering
12,Frank,frank12@test.com,28,84959,Marketing
13,Maya,maya13@test.com,24,93906,Sales
14,Quinn,quinn14@test.com,50,44161,Engineering
15,Quinn,quinn15@test.com,56,42949,Sales
16,Kate,kate16@test.com,41,67499,Finance
17,Jack,jack17@test.com,46,67994,Engineering
18,Casey,casey18@test.com,41,78496,Engineering
This is not a valid CSV line at all!
20,Grace,grace20@test.com,52,66369,Marketing
21,Olivia,olivia21@test.com,39,70117,HR
22,Xander,xander22@test.com,59,48029,Operations
23,User23™,user23@test.com,25,50000,Engineering
24,Xander,xander24@test.com,27,67920,Engineering
25,Frank,frank25@test.com,33,47588,Marketing
26,Bob,bob26@test.com,37,87646,Finance
27,Alex,alex27@test.com,65,66546,Operations
28,Kate,kate28@test.com,44,76126,HR
29,"User29 "Special Name",user29@test.com,25,50000,Engineering
30,Wendy,wendy30@test.com,54,86593,Operations
31,Charlie,charlie31@test.com,62,76898,Operations
32,Bob,bob32@test.com,24,91631,Marketing
33,Diana,diana33@test.com,42,74153,Finance
34,Henry,henry34@test.com,35,54200,Marketing
35,Eve,eve35@test.com,56,67261,Operations
36,Wendy,wendy36@test.com,64,66286,Engineering
37,User37,user37@test.com,25,50000,Engineering,Extra Field
This is not a valid CSV line at all!
39,Diana,diana39@test.com,36,73791,Marketing
40,Kate,kate40@test.com,22,90228,Engineering
41,Frank,frank41@test.com,59,62199,HR
42,Grace,grace42@test.com,55,40757,Engineering
43,Casey,casey43@test.com,23,44494,Sales
44,Blake,blake44@test.com,40,93126,Marketing
45,Blake,blake45@test.com,51,46204,Finance
46,User46™,user46@test.com,25,50000,Engineering
47,Charlie,charlie47@test.com,45,76630,Engineering
48,Maya,maya48@test.com,63,92980,Engineering
49,Tara,tara49@test.com,40,79818,Finance
50,User50 invalid_email@domain,25,50000,Engineering
51,Yara,yara51@test.com,59,47597,Sales
52,Drew,drew52@test.com,47,80990,Operations
53,Liam,liam53@test.com,24,97480,Marketing
